Date,Actual,LSTM_Forecast
2024-11-20,227.75582885742188,230.6842933207194
2024-11-21,227.27847290039062,231.0101995011363
2024-11-22,228.62110900878906,232.49383732008255
2024-11-25,231.60479736328125,232.37602520599813
2024-11-26,233.78291320800778,232.53165889118821
2024-11-27,233.6535949707031,231.30333756789622
2024-11-29,236.0405731201172,230.32904929472343
2024-12-02,238.28829956054688,232.26859357403575
2024-12-03,241.33166503906247,235.83328806555525
2024-12-04,241.6897125244141,238.4877227449823
2024-12-05,241.71955871582034,239.84732647835324
2024-12-06,241.5206298828125,240.29719231101546
2024-12-09,245.409408569336,241.43537744456611
2024-12-10,246.4238586425781,241.5508443072341
2024-12-11,245.15080261230472,245.00278120345243
2024-12-12,246.61283874511716,247.9321369519465
2024-12-13,246.78190612792972,249.68369734991265
2024-12-16,249.6761016845703,248.2599103918658
2024-12-17,252.1028289794922,248.10850676592779
2024-12-18,246.70233154296875,250.1342047749588
2024-12-19,248.43287658691406,250.12920080345785
2024-12-20,253.1073760986328,248.31157268161812
2024-12-23,253.88311767578125,251.8914709408472
2024-12-24,256.7972412109375,251.44674403520236
2024-12-26,257.61273193359364,252.21166730133143
2024-12-27,254.20137023925778,254.39076509939952
2024-12-30,250.8297882080078,253.3814593948189
